,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Weather
0,nizhniy kuranakh,92,ru,1554567665,69,58.84,125.49,27.44,3.74,Clouds
1,dhidhdhoo,0,mv,1554567666,100,6.88,73.1,84.95,6.08,Clear
2,perevolotskiy,64,ru,1554567606,74,51.88,54.19,49.85,8.99,Clouds
3,acapulco,20,mx,1554562020,69,16.86,-99.88,80.6,2.24,Clouds
4,talnakh,76,ru,1554567668,84,69.49,88.39,19.97,6.64,Clouds
5,robertsport,76,lr,1554567668,95,6.75,-11.37,83.78,10.67,Clouds
6,kayes,12,ml,1554567669,22,14.44,-11.44,101.78,10.45,Clouds
7,new norfolk,0,au,1554567369,76,-42.78,147.06,48.67,8.05,Clear
8,bachaquero,0,ve,1554567670,62,9.96,-71.12,88.73,3.4,Clear
9,iralaya,88,hn,1554567672,91,15.0,-83.23,79.82,5.75,Clouds
10,tuatapere,0,nz,1554567673,100,-46.13,167.69,44.18,3.62,Clear
11,klaksvik,80,fo,1554564000,61,62.23,-6.59,46.4,10.29,Clouds
12,ushuaia,90,ar,1554562800,74,-54.81,-68.31,37.4,20.8,Rain
13,mananjary,20,mg,1554567675,96,-19.16,46.8,64.25,3.06,Rain
14,barguzin,0,ru,1554567676,67,53.62,109.63,5.3,1.95,Clear
15,calama,0,cl,1554567502,12,-22.46,-68.93,69.73,8.05,Clear
16,severo-kurilsk,92,ru,1554567677,97,50.68,156.12,31.94,28.12,Clouds
17,taoudenni,12,ml,1554567678,21,22.68,-3.98,80.9,13.35,Clouds
18,dikson,80,ru,1554567678,100,73.51,80.55,18.53,9.55,Clouds
19,kloulklubed,75,pw,1554565800,94,7.04,134.26,78.8,9.44,Clouds
20,mbour,24,sn,1554564600,42,14.41,-16.97,76.48,20.8,Clouds
21,praxedis guerrero,1,mx,1554567469,23,31.37,-106.02,64.17,3.36,Clear
22,mahebourg,75,mu,1554567241,74,-20.41,57.7,77.76,11.41,Rain
23,margate,76,za,1554567561,100,-30.86,30.37,67.04,10.56,Rain
24,atuona,92,pf,1554567683,98,-9.8,-139.03,82.88,17.16,Clouds
25,carnarvon,0,au,1554566400,73,-24.87,113.63,73.4,14.99,Clear
26,bredasdorp,0,za,1554567365,68,-34.53,20.04,69.22,13.87,Clear
27,mar del plata,0,ar,1554567623,39,-46.43,-67.52,69.11,6.87,Clear
28,rikitea,68,pf,1554567687,100,-23.12,-134.97,76.94,15.03,Clouds
29,cape town,0,za,1554567651,68,-33.93,18.42,69.53,11.41,Clear
30,georgetown,12,sh,1554567688,99,-7.93,-14.42,82.34,16.49,Clouds
31,norman wells,75,ca,1554562800,66,65.28,-126.83,14.0,10.29,Clouds
32,port alfred,8,za,1554567680,87,-33.59,26.89,64.99,5.01,Clear
33,hilo,20,us,1554567557,68,19.71,-155.08,64.62,6.93,Clouds
34,san patricio,75,mx,1554561900,83,19.22,-104.7,75.2,2.17,Clouds
35,emerald,0,au,1554567423,77,-23.53,148.16,65.66,5.82,Clear
36,walvis bay,0,na,1554566527,72,-22.95,14.51,60.89,6.93,Clear
37,husavik,75,is,1554566400,55,66.04,-17.34,39.2,10.29,Clouds
38,mayor pablo lagerenza,36,py,1554567695,67,-19.93,-60.77,70.82,14.47,Clouds
39,biak,36,id,1554567696,98,-0.91,122.88,79.46,1.16,Clouds
